cutoff,horizon_days,n_days,mae,rmse,mape_pct,season,mae_rate
2024-04-30,30,30,143.14,162.64,31.08,all,0.1737
2024-04-30,30,30,143.14,162.64,31.08,spring,0.1737
2024-04-30,60,60,142.4,155.61,27.57,all,0.1728
2024-04-30,60,31,141.22,160.7,30.76,spring,0.1714
2024-04-30,60,29,143.66,149.98,24.16,summer,0.1743
2024-04-30,90,90,148.85,161.18,25.85,all,0.1806
2024-04-30,90,31,141.22,160.7,30.76,spring,0.1714
2024-04-30,90,59,152.87,161.43,23.27,summer,0.1855
2024-06-29,30,30,60.76,82.68,8.23,all,0.0737
2024-06-29,30,30,60.76,82.68,8.23,summer,0.0737
2024-06-29,60,60,63.43,80.14,8.29,all,0.077
2024-06-29,60,60,63.43,80.14,8.29,summer,0.077
2024-06-29,90,90,72.67,92.41,10.01,all,0.0882
2024-06-29,90,27,92.18,115.78,13.61,autumn,0.1119
2024-06-29,90,63,64.31,80.35,8.46,summer,0.078
2024-08-28,30,30,88.52,100.26,14.65,all,0.1074
2024-08-28,30,27,95.34,105.1,15.85,autumn,0.1157
2024-08-28,30,3,27.12,33.16,3.88,summer,0.0329
2024-08-28,60,60,72.06,92.17,14.5,all,0.0874
2024-08-28,60,57,74.42,94.26,15.06,autumn,0.0903
2024-08-28,60,3,27.12,33.16,3.88,summer,0.0329
2024-08-28,90,90,72.09,89.36,19.73,all,0.0875
2024-08-28,90,87,73.64,90.67,20.28,autumn,0.0894
2024-08-28,90,3,27.12,33.16,3.88,summer,0.0329
2024-10-27,30,30,60.0,72.54,24.65,all,0.0728
2024-10-27,30,30,60.0,72.54,24.65,autumn,0.0728
2024-10-27,60,60,43.36,55.83,20.41,all,0.0526
2024-10-27,60,34,59.48,70.77,25.72,autumn,0.0722
2024-10-27,60,26,22.28,25.35,13.48,winter,0.027
2024-10-27,90,90,57.1,86.1,25.46,all,0.071
2024-10-27,90,34,59.48,70.77,25.72,autumn,0.0722
2024-10-27,90,56,55.65,94.2,25.31,winter,0.0702
2024-12-26,30,30,81.14,121.68,32.73,all,0.1034
2024-12-26,30,30,81.14,121.68,32.73,winter,0.1034
2024-12-26,60,60,64.66,97.13,29.09,all,0.0826
2024-12-26,60,60,64.66,97.13,29.09,winter,0.0826
2024-12-26,90,90,61.66,87.27,30.73,all,0.0789
2024-12-26,90,26,50.71,58.3,28.84,spring,0.0651
2024-12-26,90,64,66.11,96.58,31.5,winter,0.0845
2025-02-24,30,30,51.0,57.01,30.91,all,0.0655
2025-02-24,30,26,45.93,51.6,25.73,spring,0.059
2025-02-24,30,4,83.9,84.07,64.54,winter,0.1077
2025-02-24,60,60,61.26,69.24,29.37,all,0.0786
2025-02-24,60,56,59.64,68.06,26.86,spring,0.0766
2025-02-24,60,4,83.9,84.07,64.54,winter,0.1077
2025-02-24,90,90,56.58,68.09,23.63,all,0.0726
2025-02-24,90,86,55.3,67.25,21.72,spring,0.071
2025-02-24,90,4,83.9,84.07,64.54,winter,0.1077
2025-04-25,30,30,62.94,83.28,15.86,all,0.0808
2025-04-25,30,30,62.94,83.28,15.86,spring,0.0808
2025-04-25,60,60,74.78,95.71,15.64,all,0.096
2025-04-25,60,36,78.0,102.55,17.34,spring,0.1001
2025-04-25,60,24,69.94,84.41,13.09,summer,0.0898
2025-04-25,90,90,60.26,82.14,12.27,all,0.0774
2025-04-25,90,36,78.0,102.55,17.34,spring,0.1001
2025-04-25,90,54,48.43,65.07,8.88,summer,0.0622
2025-06-24,30,30,33.95,41.3,5.85,all,0.0436
2025-06-24,30,30,33.95,41.3,5.85,summer,0.0436
2025-06-24,60,60,33.83,43.51,5.24,all,0.0434
2025-06-24,60,60,33.83,43.51,5.24,summer,0.0434
2025-06-24,90,90,63.78,82.14,9.47,all,0.0819
2025-06-24,90,22,126.37,128.76,18.78,autumn,0.1622
2025-06-24,90,68,43.53,59.71,6.46,summer,0.0559
